Framework,Scenario,Batch,Retry,Requests,Connections,Duration,RequestsPerSec,LatencyMean,LatencyP50,LatencyP90,LatencyP99,MaxLatency,TransferRate,Errors,Non2XX,Timestamp
GoFlash,URL Path Parameter,1,0,0,256,10.124901375s,219170.26,0s,0s,0s,0s,0s,0.00,0,0,2025-08-26T22:14:16+03:00
GoFlash,Deep Route Groups,1,0,0,256,10.12561075s,219780.38,0s,0s,0s,0s,0s,0.00,0,0,2025-08-26T22:14:26+03:00
GoFlash,Request Context,1,0,0,256,10.124993333s,212947.87,0s,0s,0s,0s,0s,0.00,0,0,2025-08-26T22:14:36+03:00
Gin,Request Context,1,0,0,256,10.038933042s,213838.43,0s,0s,0s,0s,0s,0.00,0,0,2025-08-26T22:14:46+03:00
Gin,URL Path Parameter,1,0,0,256,10.125012958s,225710.79,0s,0s,0s,0s,0s,0.00,0,0,2025-08-26T22:14:56+03:00
Gin,Deep Route Groups,1,0,0,256,10.125056834s,226190.42,0s,0s,0s,0s,0s,0.00,0,0,2025-08-26T22:15:07+03:00
Gin,Middleware Chain,1,0,0,256,10.159190584s,228308.81,0s,0s,0s,0s,0s,0.00,0,0,2025-08-26T22:15:17+03:00
Gin,Route Groups,1,0,0,256,10.118270084s,223625.50,0s,0s,0s,0s,0s,0.00,0,0,2025-08-26T22:15:27+03:00
Gin,Single Middleware,1,0,0,256,10.123683292s,218489.55,0s,0s,0s,0s,0s,0.00,0,0,2025-08-26T22:15:37+03:00
Gin,Wildcard Routing,1,0,0,256,10.16547475s,226505.50,0s,0s,0s,0s,0s,0.00,0,0,2025-08-26T22:15:47+03:00
Gin,JSON Binding,1,0,0,256,10.130514875s,197620.50,0s,0s,0s,0s,0s,0.00,0,0,2025-08-26T22:15:57+03:00
Gin,Simple Ping/Pong,1,0,0,256,10.121311417s,232124.56,0s,0s,0s,0s,0s,0.00,0,0,2025-08-26T22:16:07+03:00
